optimizer,epochs,lr,activation,loss,acc
SGD,10,0.05,sigmoid,0.324142187833786,0.911300003528595
SGD,10,0.05,hard_sigmoid,1.4880075454711914,0.5382000207901001
SGD,10,0.05,tanh,,0.09799999743700027
SGD,10,0.05,linear,8.32983684539795,0.3319000005722046
SGD,10,0.05,relu,,0.09799999743700027
SGD,10,0.05,softmax,0.32440096139907837,0.9110000133514404
Adam,10,0.05,sigmoid,0.43556395173072815,0.911300003528595
Adam,10,0.05,hard_sigmoid,,0.7016000151634216
Adam,10,0.05,tanh,,0.09799999743700027
Adam,10,0.05,linear,12.0225248336792,0.08579999953508377
Adam,10,0.05,relu,,0.09799999743700027
Adam,10,0.05,softmax,0.4150637686252594,0.9111999869346619
Adadelta,10,0.05,sigmoid,0.5005301237106323,0.8815000057220459
Adadelta,10,0.05,hard_sigmoid,,0.7110999822616577
Adadelta,10,0.05,tanh,8.08018970489502,0.10369999706745148
Adadelta,10,0.05,linear,8.458033561706543,0.10279999673366547
Adadelta,10,0.05,relu,,0.09799999743700027
Adadelta,10,0.05,softmax,0.4907839000225067,0.8833000063896179
Adagrad,10,0.05,sigmoid,0.29168134927749634,0.9185000061988831
Adagrad,10,0.05,hard_sigmoid,,0.8722000122070312
Adagrad,10,0.05,tanh,8.77307415008545,0.2386000007390976
Adagrad,10,0.05,linear,8.732819557189941,0.2222999930381775
Adagrad,10,0.05,relu,,0.09799999743700027
Adagrad,10,0.05,softmax,0.28918400406837463,0.9190999865531921
RMSprop,10,0.05,sigmoid,1.1773537397384644,0.8073999881744385
RMSprop,10,0.05,hard_sigmoid,,0.325300008058548
RMSprop,10,0.05,tanh,,0.09799999743700027
RMSprop,10,0.05,linear,12.84611988067627,0.4018999934196472
RMSprop,10,0.05,relu,,0.09799999743700027
RMSprop,10,0.05,softmax,0.679362952709198,0.8942999839782715
SGD,10,0.01,sigmoid,0.44680166244506836,0.8876000046730042
SGD,10,0.01,hard_sigmoid,1.5653983354568481,0.09799999743700027
SGD,10,0.01,tanh,9.621800422668457,0.12399999797344208
SGD,10,0.01,linear,8.29653549194336,0.23149999976158142
SGD,10,0.01,relu,1.9501372575759888,0.09619999676942825
SGD,10,0.01,softmax,0.4495695233345032,0.8853999972343445
Adam,10,0.01,sigmoid,0.2893539369106293,0.9222000241279602
Adam,10,0.01,hard_sigmoid,,0.8589000105857849
Adam,10,0.01,tanh,,0.09799999743700027
Adam,10,0.01,linear,11.48900318145752,0.2184000015258789
Adam,10,0.01,relu,,0.09799999743700027
Adam,10,0.01,softmax,0.2826322913169861,0.9254000186920166
Adadelta,10,0.01,sigmoid,1.218096137046814,0.7836999893188477
Adadelta,10,0.01,hard_sigmoid,,0.7598999738693237
Adadelta,10,0.01,tanh,7.103052139282227,0.1080000028014183
Adadelta,10,0.01,linear,8.140320777893066,0.1462000012397766
Adadelta,10,0.01,relu,,0.09799999743700027
Adadelta,10,0.01,softmax,1.140280842781067,0.7904999852180481
Adagrad,10,0.01,sigmoid,0.3662051558494568,0.9039999842643738
Adagrad,10,0.01,hard_sigmoid,,0.8461999893188477
Adagrad,10,0.01,tanh,8.174460411071777,0.16140000522136688
Adagrad,10,0.01,linear,9.008794784545898,0.17579999566078186
Adagrad,10,0.01,relu,,0.09799999743700027
Adagrad,10,0.01,softmax,0.3665561378002167,0.9045000076293945
RMSprop,10,0.01,sigmoid,0.3171951174736023,0.9204999804496765
RMSprop,10,0.01,hard_sigmoid,,0.3301999866962433
RMSprop,10,0.01,tanh,,0.09799999743700027
RMSprop,10,0.01,linear,,0.09799999743700027
RMSprop,10,0.01,relu,,0.09799999743700027
RMSprop,10,0.01,softmax,0.3259090185165405,0.9143999814987183
SGD,10,0.02,sigmoid,0.38159579038619995,0.8992999792098999
SGD,10,0.02,hard_sigmoid,1.21066153049469,0.3264000117778778
SGD,10,0.02,tanh,,0.09799999743700027
SGD,10,0.02,linear,9.39554214477539,0.10100000351667404
SGD,10,0.02,relu,,0.09799999743700027
SGD,10,0.02,softmax,0.3805885910987854,0.8985000252723694
Adam,10,0.02,sigmoid,0.3137970566749573,0.9193000197410583
Adam,10,0.02,hard_sigmoid,,0.8472999930381775
Adam,10,0.02,tanh,,0.09799999743700027
Adam,10,0.02,linear,10.049715995788574,0.30970001220703125
Adam,10,0.02,relu,,0.09799999743700027
Adam,10,0.02,softmax,0.3293066918849945,0.9200000166893005
Adadelta,10,0.02,sigmoid,0.7992008328437805,0.8373000025749207
Adadelta,10,0.02,hard_sigmoid,,0.7599999904632568
Adadelta,10,0.02,tanh,7.2629547119140625,0.1281999945640564
Adadelta,10,0.02,linear,7.975531101226807,0.10050000250339508
Adadelta,10,0.02,relu,,0.09799999743700027
Adadelta,10,0.02,softmax,0.8381208777427673,0.8223000168800354
Adagrad,10,0.02,sigmoid,0.32152077555656433,0.9125999808311462
Adagrad,10,0.02,hard_sigmoid,,0.8716999888420105
Adagrad,10,0.02,tanh,8.53860092163086,0.12559999525547028
Adagrad,10,0.02,linear,7.360599040985107,0.04699999839067459
Adagrad,10,0.02,relu,,0.09799999743700027
Adagrad,10,0.02,softmax,0.320086807012558,0.9132000207901001
RMSprop,10,0.02,sigmoid,0.3767125606536865,0.9132000207901001
RMSprop,10,0.02,hard_sigmoid,,0.385699987411499
RMSprop,10,0.02,tanh,,0.09799999743700027
RMSprop,10,0.02,linear,7.783529758453369,0.2685000002384186
RMSprop,10,0.02,relu,,0.09799999743700027
RMSprop,10,0.02,softmax,0.4400232434272766,0.8937000036239624
SGD,10,0.1,sigmoid,0.29930174350738525,0.9174000024795532
SGD,10,0.1,hard_sigmoid,1.590131402015686,0.09799999743700027
SGD,10,0.1,tanh,6.681251525878906,0.07039999961853027
SGD,10,0.1,linear,9.421107292175293,0.13930000364780426
SGD,10,0.1,relu,,0.09799999743700027
SGD,10,0.1,softmax,0.299258828163147,0.9180999994277954
Adam,10,0.1,sigmoid,0.662111222743988,0.9057999849319458
Adam,10,0.1,hard_sigmoid,,0.770799994468689
Adam,10,0.1,tanh,,0.09799999743700027
Adam,10,0.1,linear,10.398231506347656,0.16169999539852142
Adam,10,0.1,relu,,0.09799999743700027
Adam,10,0.1,softmax,0.7196843028068542,0.9054999947547913
Adadelta,10,0.1,sigmoid,0.3855927586555481,0.9002000093460083
Adadelta,10,0.1,hard_sigmoid,,0.09799999743700027
Adadelta,10,0.1,tanh,7.625428676605225,0.1200999990105629
Adadelta,10,0.1,linear,7.782497882843018,0.1445000022649765
Adadelta,10,0.1,relu,,0.09799999743700027
Adadelta,10,0.1,softmax,0.3845280408859253,0.8986999988555908
Adagrad,10,0.1,sigmoid,0.2795666754245758,0.9210000038146973
Adagrad,10,0.1,hard_sigmoid,,0.8758999705314636
Adagrad,10,0.1,tanh,,0.09799999743700027
Adagrad,10,0.1,linear,9.603416442871094,0.10119999945163727
Adagrad,10,0.1,relu,,0.09799999743700027
Adagrad,10,0.1,softmax,0.2829025387763977,0.9190000295639038
RMSprop,10,0.1,sigmoid,1.3082119226455688,0.8820000290870667
RMSprop,10,0.1,hard_sigmoid,,0.24250000715255737
RMSprop,10,0.1,tanh,,0.09799999743700027
RMSprop,10,0.1,linear,12.76230525970459,0.3296999931335449
RMSprop,10,0.1,relu,,0.09799999743700027
RMSprop,10,0.1,softmax,0.9601718783378601,0.9146000146865845
SGD,100,0.05,sigmoid,0.270589143037796,0.9239000082015991
SGD,100,0.05,hard_sigmoid,1.7501046657562256,0.29829999804496765
SGD,100,0.05,tanh,,0.09799999743700027
SGD,100,0.05,linear,,0.09799999743700027
SGD,100,0.05,relu,,0.09799999743700027
SGD,100,0.05,softmax,0.270197331905365,0.9229000210762024
Adam,100,0.05,sigmoid,0.5593549609184265,0.901199996471405
Adam,100,0.05,hard_sigmoid,,0.7893999814987183
Adam,100,0.05,tanh,,0.09799999743700027
Adam,100,0.05,linear,11.253656387329102,0.1923999935388565
Adam,100,0.05,relu,,0.09799999743700027
Adam,100,0.05,softmax,0.5510887503623962,0.9072999954223633
Adadelta,100,0.05,sigmoid,0.28445202112197876,0.920199990272522
Adadelta,100,0.05,hard_sigmoid,,0.22300000488758087
Adadelta,100,0.05,tanh,8.167726516723633,0.12039999663829803
Adadelta,100,0.05,linear,8.153485298156738,0.053599998354911804
Adadelta,100,0.05,relu,,0.09799999743700027
Adadelta,100,0.05,softmax,0.2859990894794464,0.9204000234603882
