architecture,lr,loss,acc
1,0.05,0.048290081322193146,0.9850000143051147
1,0.01,0.05568614974617958,0.9832000136375427
1,0.02,0.049847424030303955,0.9837999939918518
1,0.1,0.05202699080109596,0.9839000105857849
2,0.05,0.03245656564831734,0.9887999892234802
2,0.01,0.03869176656007767,0.987500011920929
2,0.02,0.034081656485795975,0.9890999794006348
2,0.1,0.03729686513543129,0.9879999756813049
3,0.05,0.11432286351919174,0.9661999940872192
3,0.01,0.21658937633037567,0.9358000159263611
3,0.02,0.08641236275434494,0.9742000102996826
3,0.1,0.10529638826847076,0.9696000218391418
